year,total_population,total_jobs
2010,3690942,1890748
2015,3898720,2112496
2016,3985040,2172742
2017,4066800,2250546
2018,4122419,2297537
2019,4180280,2328370
2020,4240910,2356277
2021,4300285,2393180
2022,4357228,2425108
2023,4416836,2451849
2024,4477439,2483474
2025,4536475,2514504
2026,4595981,2542556
2027,4655103,2575252
2028,4710639,2609920
2029,4766561,2642288
2030,4823243,2677393
2031,4876182,2714399
2032,4924105,2746259
2033,4974711,2778476
2034,5026349,2812935
2035,5080466,2848323
2036,5135689,2885370
2037,5190095,2925309
2038,5238443,2966366
2039,5283709,3002137
2040,5328033,3036280
2041,5374982,3069764
2042,5424064,3104951
2043,5474229,3142107
2044,5525074,3180060
2045,5577099,3218399
2046,5627506,3255243
2047,5677500,3290934
2048,5726303,3325543
2049,5774225,3358613
2050,5823165,3391293
