year,total_population,total_change,percent_change,variable
1991,2833057,84190,0.030627163846050028,Observed
1992,2880190,47133,0.016636799047813015,Observed
1993,2929612,49422,0.017159284630527846,Observed
1994,2978720,49108,0.01676262931746593,Observed
1995,3024537,45817,0.015381439007358865,Observed
1996,3058048,33511,0.011079712365892697,Observed
1997,3103012,44964,0.014703497132811518,Observed
1998,3159992,56980,0.018362803624349503,Observed
1999,3219841,59849,0.018939604910392177,Observed
2000,3275857,56016,0.017397132342870346,Observed
2001,3316557,40700,0.012424229751176562,Observed
2002,3364581,48024,0.0144800767784181,Observed
2003,3399436,34855,0.010359387989173095,Observed
2004,3434039,34603,0.010179041464525291,Observed
2005,3473083,39044,0.01136970197484653,Observed
2006,3539434,66351,0.019104351954733013,Observed
2007,3594799,55365,0.015642331514021734,Observed
2008,3634690,39891,0.011096865221115283,Observed
2009,3663248,28558,0.007857066214725327,Observed
2010,3690942,27694,0.007559957720580207,Observed
2011,3721172,30230,0.008190321061669352,Observed
2012,3749421,28249,0.007591425497128324,Observed
2013,3795087,45666,0.01217948051179102,Observed
2014,3857726,62639,0.016505286967070848,Observed
2015,3926769,69043,0.01789733122570136,Observed
2016,4018936,92167,0.02347145961476216,Observed
2017,4080194,61258,0.015242342749424227,Observed
2018,4149624,69430,0.01701634775209218,Observed
2019,4220357,70733,0.01704564076166901,Observed
2020,4293636,73279,0.017363223063830854,Observed
2021,4330750,37114,0.008643955845348791,Observed
2022,4383300,52550,0.012134156901229579,Observed
2023,4437100,53800,0.012273857595875255,Observed
2024,4483900,46800,0.010547429627459377,Observed
2018,4122419,55619,0.013676354873610701,Forecast
2019,4180280,57861,0.014035691180348238,Forecast
2020,4240910,60630,0.014503813141703426,Forecast
2021,4300285,59375,0.014000532904494553,Forecast
2022,4357228,56943,0.013241680493269632,Forecast
2023,4416836,59608,0.013680257264480996,Forecast
2024,4477439,60603,0.013720907907832666,Forecast
2025,4536475,59036,0.013185215923656358,Forecast
2026,4595981,59506,0.013117233093977151,Forecast
2027,4655103,59122,0.012863847783530872,Forecast
2028,4710639,55536,0.011930133447100956,Forecast
2029,4766561,55922,0.011871425511485808,Forecast
2030,4823243,56682,0.01189159228215059,Forecast
