Year,remi-pop,remi-jobs,adj-remi-jobs,
2022,4332100,2944100,2502500,1829600
2023,4392100,3020500,2567400,1824700
2024,4459400,3074700,2613500,1845900
2025,4518400,3110800,2644200,1874200
2026,4573800,3139600,2668700,1905100
2027,4623900,3160300,2686300,1937600
2028,4670300,3180900,2703800,1966500
2029,4716100,3205900,2725000,1991100
2030,4762600,3233700,2748600,2014000
2031,4806500,3253900,2765800,2040700
2032,4854800,3296300,2801900,2052900
2033,4902400,3324900,2826200,2076200
2034,4949200,3352800,2849900,2099300
2035,4994000,3376700,2870200,2123800
2036,5035200,3395100,2885800,2149400
2037,5074000,3413500,2901500,2172500
2038,5111300,3432100,2917300,2194000
2039,5148300,3453200,2935200,2213100
2040,5185600,3475000,2953800,2231800
2041,5223800,3497700,2973000,2250800
2042,5263000,3521400,2993200,2269800
2043,5303400,3546600,3014600,2288800
2044,5345200,3573100,3037100,2308100
2045,5388600,3600400,3060300,2328300
2046,5434000,3629600,3085200,2348800
2047,5481200,3659800,3110800,2370400
2048,5530300,3691400,3137700,2392600
2049,5581400,3724600,3165900,2415500
2050,5634400,3756600,3193100,2441300
2051,5689100,3789000,3220700,2468400
2052,5745500,3822100,3248800,2496700
2053,5803200,3855100,3276800,2526400
2054,5861800,3888200,3305000,2556800
2055,5921200,3920900,3332800,2588400
2056,5981200,3953500,3360500,2620700
2057,6040800,3984900,3387200,2653600
2058,6099500,4015300,3413000,2686500
2059,6157100,4044600,3437900,2719200
2060,6213400,4072700,3461800,2751600
